userID,gender,age,salary,clicked
8A229D5F,M,51,88853.01525010458,No
132BCCE5,W,40,77590.85260725542,Yes
642CFC73,W,39,16595.284352462935,No
F493E1E2,W,43,67338.37794102186,No
8394D174,M,48,65334.180704119026,Yes
1A9D80CE,M,41,15000,No
6D9AB058,M,32,54026.65867533793,No
F3FE25FB,W,46,112877.24235674282,Yes
84F9156D,W,33,93162.094682341,No
1DF044D7,M,23,84938.21922716769,No
6AF77441,M,41,28005.031335179927,No
E7FF79B4,W,36,57473.94226224318,No
90F84922,W,39,56077.411682651466,No
09F11898,M,24,65968.55648173935,No
7EF6280E,M,40,88694.99301035795,Yes
E092BDAD,M,25,15000,No
97958D3B,W,40,52767.31188787777,No
0E9CDC81,M,49,136798.16669250373,Yes
799BEC17,M,23,45828.396323614565,No
E924F186,M,38,85863.24987517238,Yes
9E23C110,M,18,106152.04396042586,No
072A90AA,M,18,77174.78354547214,No
702DA03C,M,49,104726.13246481594,No
EE49359F,W,28,94595.47580993941,No
994E0509,M,34,91054.43931909406,No
004754B3,M,30,127253.61529602324,Yes
77406425,M,26,41176.50890346084,No
5A428BA8,M,38,64512.942879566646,No
2D45BB3E,M,38,108549.51000270952,No
B44CEA84,W,18,26991.22339492538,No
C34BDA12,NB,24,55201.36698324925,No
5D2F4FB1,M,54,79803.53989057899,No
2A287F27,M,38,39221.43579603036,No
B3212E9D,W,37,39800.81731362227,No
C4261E0B,W,33,41729.082648935044,No
5499039A,W,35,46261.96069885149,No
239E330C,W,50,50855.591126022766,No
BA9762B6,M,47,71853.50071899322,No
CD905220,M,31,80174.89715496005,No
53F4C783,M,50,82715.40406511459,Yes
24F3F715,NB,35,93429.8964256728,No
BDFAA6AF,W,25,76831.84781042488,No
CAFD9639,M,20,112888.67009541992,No
47F59BCC,W,41,15000,Yes
30F2AB5A,M,43,28554.667347883325,No
A9FBFAE0,M,51,108037.08822209376,Yes
DEFCCA76,M,30,83479.64860274448,Yes
40985FD5,M,31,85654.0294088365,No
379F6F43,W,33,43148.06048558122,No
AE963EF9,W,53,72585.13102772237,Yes
D9910E6F,M,47,61105.10821752769,Yes
492E13FE,M,30,70715.85796119811,No
3E292368,M,26,71204.2528652097,No
A72072D2,M,31,23077.32247382639,No
D0274244,W,44,77440.60404505092,Yes
4E43D7E7,M,42,18035.461704913025,No
3944E771,M,27,122550.26349459038,Yes
A04DB6CB,W,35,49808.94828567083,No
D74A865D,W,27,65519.4472675795,No
612CAB60,M,29,62379.549283696746,No
162B9BF6,W,37,56797.94763590947,Yes
8F22CA4C,W,46,86870.20249166219,Yes
F825FADA,W,50,81103.85837390184,Yes
66416F79,M,54,104472.82370279948,No
11465FEF,M,45,106287.32261371549,Yes
884F0E55,M,48,59393.09544376101,No
FF483EC3,M,37,54459.90895846645,Yes
6FF72352,W,27,67935.21748896904,No
18F013C4,W,35,38295.98284844453,No
